% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 20.00000 MHz to 10.00000 mHz with 512 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-09 T 12:29:47 -0700
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
7.87475212e+02, -3.4093e+01, -8.0012e+01
7.55153548e+02, -3.4607e+01, -8.0143e+01
7.24158517e+02, -3.3190e+01, -8.4469e+01
6.94435667e+02, -3.3463e+01, -7.7469e+01
6.65932782e+02, -3.3229e+01, -7.7769e+01
6.38599788e+02, -3.2440e+01, -7.9024e+01
6.12388668e+02, -3.2820e+01, -7.9035e+01
5.87253375e+02, -3.1591e+01, -8.2505e+01
5.63149751e+02, -3.1411e+01, -8.2052e+01
5.40035453e+02, -3.1701e+01, -8.4622e+01
5.17869874e+02, -3.1006e+01, -8.0977e+01
4.96614074e+02, -3.1087e+01, -8.1336e+01
4.76230711e+02, -3.0373e+01, -8.0565e+01
4.56683977e+02, -2.9891e+01, -7.7181e+01
4.37939532e+02, -2.9674e+01, -8.1667e+01
4.19964447e+02, -2.9980e+01, -7.7079e+01
4.02727143e+02, -2.9365e+01, -8.4202e+01
3.86197339e+02, -2.8700e+01, -8.4623e+01
3.70345995e+02, -2.8417e+01, -8.1239e+01
3.55145265e+02, -2.8427e+01, -8.0956e+01
3.40568443e+02, -2.7923e+01, -8.1418e+01
3.26589922e+02, -2.7331e+01, -8.2912e+01
3.13185145e+02, -2.7174e+01, -8.4594e+01
3.00330563e+02, -2.6437e+01, -8.2093e+01
2.88003593e+02, -2.6572e+01, -8.2753e+01
2.76182580e+02, -2.6030e+01, -8.1040e+01
2.64846756e+02, -2.5753e+01, -7.9919e+01
2.53976207e+02, -2.5606e+01, -8.3221e+01
2.43551837e+02, -2.5416e+01, -8.3476e+01
2.33555331e+02, -2.4610e+01, -8.2933e+01
2.23969128e+02, -2.4471e+01, -8.1171e+01
2.14776389e+02, -2.4206e+01, -8.0965e+01
2.05960962e+02, -2.3595e+01, -8.1571e+01
1.97507361e+02, -2.3334e+01, -8.0520e+01
1.89400736e+02, -2.3199e+01, -8.1376e+01
1.81626845e+02, -2.2816e+01, -8.0970e+01
1.74172030e+02, -2.2665e+01, -7.9772e+01
1.67023196e+02, -2.2101e+01, -8.2813e+01
1.60167783e+02, -2.1715e+01, -8.1829e+01
1.53593749e+02, -2.1580e+01, -7.9618e+01
1.47289543e+02, -2.1087e+01, -8.1433e+01
1.41244092e+02, -2.0644e+01, -8.1140e+01
1.35446774e+02, -2.0181e+01, -8.0905e+01
1.29887406e+02, -2.0045e+01, -8.0951e+01
1.24556220e+02, -1.9669e+01, -8.1347e+01
1.19443850e+02, -1.9241e+01, -7.9615e+01
1.14541316e+02, -1.9013e+01, -7.9238e+01
1.09840005e+02, -1.8799e+01, -8.1723e+01
1.05331658e+02, -1.8253e+01, -8.0079e+01
1.01008355e+02, -1.7805e+01, -8.0720e+01
9.68624996e+01, -1.7378e+01, -7.8397e+01
9.28868099e+01, -1.7189e+01, -7.8657e+01
8.90743011e+01, -1.6666e+01, -7.8127e+01
8.54182754e+01, -1.6563e+01, -7.8221e+01
8.19123102e+01, -1.6160e+01, -7.9002e+01
7.85502461e+01, -1.5704e+01, -7.7647e+01
7.53261769e+01, -1.5555e+01, -7.7968e+01
7.22344385e+01, -1.4968e+01, -7.7571e+01
6.92695995e+01, -1.4584e+01, -7.7212e+01
6.64264514e+01, -1.3977e+01, -7.6533e+01
6.36999994e+01, -1.4183e+01, -7.5465e+01
6.10854537e+01, -1.3549e+01, -7.5727e+01
5.85782211e+01, -1.3407e+01, -7.6301e+01
5.61738972e+01, -1.2958e+01, -7.4801e+01
5.38682579e+01, -1.2724e+01, -7.4097e+01
5.16572528e+01, -1.2165e+01, -7.4278e+01
4.95369977e+01, -1.1962e+01, -7.4305e+01
4.75037678e+01, -1.1589e+01, -7.2139e+01
4.55539911e+01, -1.1537e+01, -7.2122e+01
4.36842424e+01, -1.1342e+01, -7.1257e+01
4.18912369e+01, -1.0927e+01, -7.0818e+01
4.01718248e+01, -1.0437e+01, -7.0922e+01
3.85229853e+01, -1.0096e+01, -6.9484e+01
3.69418220e+01, -9.6259e+00, -6.8811e+01
3.54255569e+01, -9.7553e+00, -6.8826e+01
3.39715265e+01, -9.2159e+00, -6.8176e+01
3.25771763e+01, -8.7296e+00, -6.7000e+01
3.12400567e+01, -8.3271e+00, -6.6190e+01
2.99578188e+01, -8.5497e+00, -6.6019e+01
2.87282099e+01, -8.0725e+00, -6.5381e+01
2.75490698e+01, -7.8849e+00, -6.3569e+01
2.64183273e+01, -7.3153e+00, -6.3278e+01
2.53339956e+01, -6.8604e+00, -6.2285e+01
2.42941700e+01, -6.9838e+00, -6.1277e+01
2.32970238e+01, -6.6224e+00, -5.9935e+01
2.23408050e+01, -6.3908e+00, -5.9326e+01
2.14238340e+01, -5.7102e+00, -5.8181e+01
2.05444997e+01, -5.4538e+00, -5.7362e+01
1.97012574e+01, -5.6630e+00, -5.6334e+01
1.88926257e+01, -5.1871e+00, -5.5065e+01
1.81171840e+01, -5.0447e+00, -5.4008e+01
1.73735701e+01, -4.8490e+00, -5.2945e+01
1.66604776e+01, -4.3646e+00, -5.1621e+01
1.59766537e+01, -4.2527e+00, -5.0532e+01
1.53208972e+01, -4.1406e+00, -4.9751e+01
1.46920560e+01, -3.9821e+00, -4.8382e+01
1.40890253e+01, -3.7376e+00, -4.7403e+01
1.35107459e+01, -3.2770e+00, -4.6253e+01
1.29562017e+01, -3.2768e+00, -4.5146e+01
1.24244186e+01, -3.0006e+00, -4.3659e+01
1.19144624e+01, -2.9720e+00, -4.2663e+01
1.14254372e+01, -2.5907e+00, -4.1344e+01
1.09564839e+01, -2.4421e+00, -4.0250e+01
1.05067786e+01, -2.4557e+00, -3.9188e+01
1.00755313e+01, -2.2951e+00, -3.7990e+01
9.66198436e+00, -2.0688e+00, -3.7001e+01
9.26541136e+00, -2.0970e+00, -3.5855e+01
8.88511558e+00, -1.8745e+00, -3.4790e+01
8.52042891e+00, -1.7584e+00, -3.3591e+01
8.17071068e+00, -1.5745e+00, -3.2422e+01
7.83534652e+00, -1.3321e+00, -3.1283e+01
7.51374728e+00, -1.4829e+00, -3.0476e+01
7.20534797e+00, -1.3642e+00, -2.9265e+01
6.90960682e+00, -1.3206e+00, -2.8521e+01
6.62600426e+00, -1.1792e+00, -2.7502e+01
6.35404207e+00, -1.1273e+00, -2.6329e+01
6.09324249e+00, -1.0050e+00, -2.5427e+01
5.84314734e+00, -9.8661e-01, -2.4734e+01
5.60331726e+00, -9.1746e-01, -2.3643e+01
5.37333093e+00, -9.6237e-01, -2.2977e+01
5.15278432e+00, -9.1905e-01, -2.2083e+01
4.94128996e+00, -8.3598e-01, -2.1438e+01
4.73847633e+00, -7.3245e-01, -2.0426e+01
4.54398711e+00, -6.5173e-01, -1.9733e+01
4.35748064e+00, -7.2991e-01, -1.9019e+01
4.17862927e+00, -4.0783e-01, -1.8320e+01
4.00711880e+00, -5.9314e-01, -1.7496e+01
3.84264791e+00, -5.9862e-01, -1.6767e+01
3.68492768e+00, -4.3527e-01, -1.6282e+01
3.53368103e+00, -4.2952e-01, -1.5575e+01
3.38864224e+00, -3.3658e-01, -1.5041e+01
3.24955653e+00, -2.5567e-01, -1.4347e+01
3.11617954e+00, -2.4433e-01, -1.3880e+01
2.98827697e+00, -3.0324e-01, -1.3228e+01
2.86562411e+00, -3.2389e-01, -1.2809e+01
2.74800550e+00, -2.4306e-01, -1.2369e+01
2.63521451e+00, -2.4412e-01, -1.1774e+01
2.52705299e+00, -1.7631e-01, -1.1337e+01
2.42333093e+00, -3.0892e-01, -1.0927e+01
2.32386610e+00, -1.8613e-01, -1.0448e+01
2.22848377e+00, -2.7773e-01, -1.0136e+01
