# Moku:Go Oscilloscope
# Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Time span 320.6 us, time offset -160.3 us, Normal acquisition mode, no averaging
# Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
# Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
# Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
# 
# Acquired 2026-04-28 T 13:02:49 -0700
# Time (s), Channel A (Input 1) (V)
1.187520000000e-04, 2.051783e-01
1.190720000000e-04, 2.039570e-01
1.193920000000e-04, 2.039570e-01
1.197120000000e-04, 2.051783e-01
1.200320000000e-04, 2.027357e-01
1.203520000000e-04, 2.039570e-01
1.206720000000e-04, 2.063996e-01
1.209920000000e-04, 2.051783e-01
1.213120000000e-04, 2.051783e-01
1.216320000000e-04, 2.039570e-01
1.219520000000e-04, 2.039570e-01
1.222720000000e-04, 2.039570e-01
1.225920000000e-04, 2.051783e-01
1.229120000000e-04, 2.039570e-01
1.232320000000e-04, 2.039570e-01
1.235520000000e-04, 2.051783e-01
1.238720000000e-04, 2.027357e-01
1.241920000000e-04, 2.039570e-01
1.245120000000e-04, 2.039570e-01
1.248320000000e-04, 2.039570e-01
1.251520000000e-04, 2.027357e-01
1.254720000000e-04, 2.039570e-01
1.257920000000e-04, 2.039570e-01
1.261120000000e-04, 2.039570e-01
1.264320000000e-04, 2.039570e-01
1.267520000000e-04, 2.039570e-01
1.270720000000e-04, 2.039570e-01
1.273920000000e-04, 2.039570e-01
1.277120000000e-04, 2.039570e-01
1.280320000000e-04, 2.027357e-01
1.283520000000e-04, 2.039570e-01
1.286720000000e-04, 2.051783e-01
1.289920000000e-04, 2.039570e-01
1.293120000000e-04, 2.051783e-01
1.296320000000e-04, 2.039570e-01
1.299520000000e-04, 2.039570e-01
1.302720000000e-04, 2.039570e-01
1.305920000000e-04, 2.039570e-01
1.309120000000e-04, 2.051783e-01
1.312320000000e-04, 2.039570e-01
1.315520000000e-04, 2.051783e-01
1.318720000000e-04, 2.051783e-01
1.321920000000e-04, 2.063996e-01
1.325120000000e-04, 2.051783e-01
1.328320000000e-04, 2.051783e-01
1.331520000000e-04, 2.063996e-01
1.334720000000e-04, 2.039570e-01
1.337920000000e-04, 2.051783e-01
1.341120000000e-04, 2.039570e-01
1.344320000000e-04, 2.027357e-01
1.347520000000e-04, 2.039570e-01
1.350720000000e-04, 2.051783e-01
1.353920000000e-04, 2.039570e-01
1.357120000000e-04, 2.039570e-01
1.360320000000e-04, 2.027357e-01
1.363520000000e-04, 2.039570e-01
1.366720000000e-04, 2.039570e-01
1.369920000000e-04, 2.051783e-01
1.373120000000e-04, 2.039570e-01
1.376320000000e-04, 2.039570e-01
1.379520000000e-04, 2.039570e-01
1.382720000000e-04, 2.051783e-01
1.385920000000e-04, 2.039570e-01
1.389120000000e-04, 2.039570e-01
1.392320000000e-04, 2.039570e-01
1.395520000000e-04, 2.039570e-01
1.398720000000e-04, 2.039570e-01
1.401920000000e-04, 2.039570e-01
1.405120000000e-04, 2.039570e-01
1.408320000000e-04, 2.051783e-01
1.411520000000e-04, 2.039570e-01
1.414720000000e-04, 2.039570e-01
1.417920000000e-04, 2.039570e-01
1.421120000000e-04, 2.039570e-01
1.424320000000e-04, 2.027357e-01
1.427520000000e-04, 2.039570e-01
1.430720000000e-04, 2.039570e-01
1.433920000000e-04, 2.039570e-01
1.437120000000e-04, 2.039570e-01
1.440320000000e-04, 2.051783e-01
1.443520000000e-04, 2.027357e-01
1.446720000000e-04, 2.039570e-01
1.449920000000e-04, 2.039570e-01
1.453120000000e-04, 2.039570e-01
1.456320000000e-04, 2.051783e-01
1.459520000000e-04, 2.051783e-01
1.462720000000e-04, 2.027357e-01
1.465920000000e-04, 2.051783e-01
1.469120000000e-04, 2.039570e-01
1.472320000000e-04, 2.027357e-01
1.475520000000e-04, 2.051783e-01
1.478720000000e-04, 2.027357e-01
1.481920000000e-04, 2.051783e-01
1.485120000000e-04, 2.039570e-01
1.488320000000e-04, 2.027357e-01
1.491520000000e-04, 2.039570e-01
1.494720000000e-04, 2.039570e-01
1.497920000000e-04, 2.051783e-01
1.501120000000e-04, 2.027357e-01
1.504320000000e-04, 2.027357e-01
1.507520000000e-04, 2.051783e-01
1.510720000000e-04, 2.039570e-01
1.513920000000e-04, 2.051783e-01
1.517120000000e-04, 2.051783e-01
1.520320000000e-04, 2.039570e-01
1.523520000000e-04, 2.039570e-01
1.526720000000e-04, 2.039570e-01
1.529920000000e-04, 2.039570e-01
1.533120000000e-04, 2.027357e-01
1.536320000000e-04, 2.039570e-01
1.539520000000e-04, 2.039570e-01
1.542720000000e-04, 2.051783e-01
1.545920000000e-04, 2.039570e-01
1.549120000000e-04, 2.039570e-01
1.552320000000e-04, 2.051783e-01
1.555520000000e-04, 2.039570e-01
1.558720000000e-04, 2.039570e-01
1.561920000000e-04, 2.051783e-01
1.565120000000e-04, 2.051783e-01
1.568320000000e-04, 2.051783e-01
1.571520000000e-04, 2.051783e-01
1.574720000000e-04, 2.039570e-01
1.577920000000e-04, 2.051783e-01
1.581120000000e-04, 2.051783e-01
1.584320000000e-04, 2.039570e-01
1.587520000000e-04, 2.051783e-01
1.590720000000e-04, 2.039570e-01
1.593920000000e-04, 2.051783e-01
1.597120000000e-04, 2.039570e-01
1.600320000000e-04, 2.051783e-01
1.603520000000e-04, 2.051783e-01
1.606720000000e-04, 2.063996e-01
1.609920000000e-04, 2.027357e-01
1.613120000000e-04, 2.039570e-01
1.616320000000e-04, 2.039570e-01
1.619520000000e-04, 2.039570e-01
1.622720000000e-04, 2.051783e-01
1.625920000000e-04, 2.051783e-01
1.629120000000e-04, 2.051783e-01
1.632320000000e-04, 2.051783e-01
1.635520000000e-04, 2.039570e-01
1.638720000000e-04, 2.039570e-01
1.641920000000e-04, 2.063996e-01
1.645120000000e-04, 2.051783e-01
1.648320000000e-04, 2.039570e-01
1.651520000000e-04, 2.051783e-01
1.654720000000e-04, 2.063996e-01
1.657920000000e-04, 2.051783e-01
